Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,233,191.0,1.0,7562.8171972572645,0,5.315058469772339
Individual AoIs for Seed,42
IoT 22,34,t_gen=20
IoT 23,142,t_gen=9
IoT 24,111,t_gen=11
IoT 25,109,t_gen=3
IoT 26,49,t_gen=5
IoT 27,149,t_gen=2
IoT 28,106,t_gen=6
IoT 29,101,t_gen=11
IoT 30,135,t_gen=16
IoT 31,143,t_gen=8
IoT 32,96,t_gen=16
IoT 33,154,t_gen=0
IoT 34,147,t_gen=4
IoT 35,153,t_gen=1
IoT 36,144,t_gen=10
IoT 37,143,t_gen=11
IoT 38,102,t_gen=10
IoT 39,151,t_gen=3
IoT 40,110,t_gen=2
IoT 41,48,t_gen=6
IoT 42,53,t_gen=1
IoT 43,152,t_gen=2
IoT 44,152,t_gen=14
IoT 45,146,t_gen=5
IoT 46,108,t_gen=4
IoT 47,107,t_gen=5
IoT 48,112,t_gen=0
IoT 49,93,t_gen=19
IoT 50,149,t_gen=2
IoT 51,137,t_gen=14
IoT 52,150,t_gen=1
IoT 53,132,t_gen=19
IoT 54,136,t_gen=18
IoT 55,134,t_gen=17
IoT 56,107,t_gen=5
IoT 57,38,t_gen=16
IoT 58,149,t_gen=2
IoT 59,141,t_gen=13
IoT 60,125,t_gen=17

49,207,163.93333333333334,1.0,6697.732641868191,0,5.582648277282715
Individual AoIs for Seed,49
IoT 1,176,t_gen=20
IoT 2,160,t_gen=19
IoT 3,92,t_gen=0
IoT 4,79,t_gen=13
IoT 5,168,t_gen=11
IoT 6,73,t_gen=19
IoT 7,190,t_gen=17
IoT 8,177,t_gen=2
IoT 9,190,t_gen=17
IoT 10,200,t_gen=7
IoT 11,177,t_gen=19
IoT 12,184,t_gen=12
IoT 13,179,t_gen=17
IoT 14,196,t_gen=0
IoT 15,83,t_gen=9
IoT 16,185,t_gen=11
IoT 17,169,t_gen=10
IoT 18,166,t_gen=13
IoT 19,199,t_gen=8
IoT 20,193,t_gen=3
IoT 21,193,t_gen=14
IoT 22,188,t_gen=19
IoT 23,189,t_gen=7
IoT 24,207,t_gen=0
IoT 25,176,t_gen=3
IoT 26,191,t_gen=5
IoT 27,194,t_gen=13
IoT 28,185,t_gen=11
IoT 29,163,t_gen=16
IoT 30,176,t_gen=3
IoT 31,161,t_gen=18
IoT 32,177,t_gen=19
IoT 33,82,t_gen=10
IoT 34,166,t_gen=13
IoT 35,187,t_gen=20
IoT 36,200,t_gen=7
IoT 37,90,t_gen=2
IoT 38,162,t_gen=17
IoT 39,76,t_gen=16
IoT 40,85,t_gen=7
IoT 41,164,t_gen=15
IoT 42,167,t_gen=12
IoT 43,189,t_gen=7
IoT 44,188,t_gen=19
IoT 45,190,t_gen=6
IoT 46,89,t_gen=3
IoT 47,79,t_gen=13
IoT 48,171,t_gen=8
IoT 49,165,t_gen=14
IoT 50,179,t_gen=0
IoT 51,192,t_gen=4
IoT 52,197,t_gen=10
IoT 53,82,t_gen=10
IoT 54,176,t_gen=20
IoT 55,172,t_gen=7
IoT 56,175,t_gen=4
IoT 57,204,t_gen=3
IoT 58,177,t_gen=2
IoT 59,200,t_gen=7
IoT 60,196,t_gen=11

110,198,175.56666666666666,1.0,6830.935465572094,0,5.7228734493255615
Individual AoIs for Seed,110
IoT 1,157,t_gen=1
IoT 2,195,t_gen=2
IoT 3,181,t_gen=16
IoT 4,177,t_gen=7
IoT 5,198,t_gen=16
IoT 6,180,t_gen=17
IoT 7,180,t_gen=4
IoT 8,190,t_gen=7
IoT 9,195,t_gen=2
IoT 10,153,t_gen=5
IoT 11,150,t_gen=8
IoT 12,184,t_gen=8
IoT 13,180,t_gen=12
IoT 14,183,t_gen=14
IoT 15,181,t_gen=16
IoT 16,146,t_gen=12
IoT 17,187,t_gen=10
IoT 18,156,t_gen=2
IoT 19,153,t_gen=5
IoT 20,184,t_gen=0
IoT 21,193,t_gen=4
