Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.4975962946467313,177,100.7,1.0,6357.633687787567,0,38.75152945518494
IoT 16,129,t_gen=11
IoT 17,119,t_gen=10
IoT 18,113,t_gen=13
IoT 19,43,t_gen=8
IoT 20,90,t_gen=3
IoT 21,112,t_gen=14
IoT 22,74,t_gen=19
IoT 23,13,t_gen=7
IoT 24,129,t_gen=0
IoT 25,126,t_gen=3
IoT 26,88,t_gen=5
IoT 27,113,t_gen=13
IoT 28,9,t_gen=11
IoT 29,78,t_gen=16
IoT 30,123,t_gen=3
IoT 31,76,t_gen=18
IoT 32,5,t_gen=19
IoT 33,28,t_gen=10
IoT 34,34,t_gen=13
IoT 35,73,t_gen=20
IoT 36,119,t_gen=7
IoT 37,29,t_gen=2
IoT 38,14,t_gen=17
IoT 39,109,t_gen=16
IoT 40,24,t_gen=7

110,0.41107503852306126,131,97.45,1.0,5526.889112707007,0,39.86114740371704
Individual AoIs for Seed,110
IoT 1,131,t_gen=1
IoT 2,130,t_gen=2
IoT 3,78,t_gen=16
IoT 4,125,t_gen=7
IoT 5,112,t_gen=16
IoT 6,115,t_gen=17
IoT 7,75,t_gen=4
IoT 8,121,t_gen=7
IoT 9,130,t_gen=2
IoT 10,123,t_gen=5
IoT 11,120,t_gen=8
IoT 12,131,t_gen=8
IoT 13,13,t_gen=12
IoT 14,118,t_gen=14
IoT 15,112,t_gen=16
IoT 16,120,t_gen=12
IoT 17,118,t_gen=10
IoT 18,40,t_gen=2
IoT 19,29,t_gen=5
IoT 20,25,t_gen=0
IoT 21,128,t_gen=4
IoT 22,8,t_gen=17
IoT 23,131,t_gen=1
IoT 24,116,t_gen=16
IoT 25,29,t_gen=1
IoT 26,131,t_gen=1
IoT 27,126,t_gen=2
IoT 28,76,t_gen=3
IoT 29,122,t_gen=10
IoT 30,82,t_gen=12
IoT 31,59,t_gen=20
IoT 32,123,t_gen=5
IoT 33,113,t_gen=19
IoT 34,117,t_gen=15
IoT 35,120,t_gen=12
IoT 36,91,t_gen=3
IoT 37,82,t_gen=12
IoT 38,78,t_gen=1
IoT 39,87,t_gen=7
IoT 40,113,t_gen=19

Final Averages
avg_fitness,0.4242927595289575
avg_peak_aoi,147.1
avg_avg_aoi,90.76500000000001
avg_coverage,1.0
avg_total_dist,5467.738810383658
avg_unserved,0.0
avg_runtime,45.93609209060669
